s;i(rlast);i(rshunt);ic(t1);ic(t2);time;v(uin);v(uout)
6,11603973084129E-5;-0,10541919618845;-0,000517110631335527;0,00131347728893161;0,106215588748455;6,11603973084129E-5;-0,645156741142273;-0,63251519203186
6,31603979854845E-5;-0,120742417871952;-0,000606931163929403;0,00106273614801466;0,121198259294033;6,31603979854845E-5;-0,735830366611481;-0,724454522132873
6,5160398662556E-5;-0,134138360619545;-0,000688338303007185;0,000893874501343817;0,134382739663124;6,5160398662556E-5;-0,814899504184723;-0,804830133914947
6,71603993396275E-5;-0,145431324839592;-0,000759614573325962;0,000778694520704448;0,145480751991272;6,71603993396275E-5;-0,881117224693298;-0,872587919235229
6,9160400016699E-5;-0,154405653476715;-0,000817568216007203;0,00070079491706565;0,15431322157383;6,9160400016699E-5;-0,933439195156097;-0,926433920860291
7,11603934178129E-5;-0,160959973931313;-0,000860755913890898;0,000650244939606637;0,160769775509834;7,11603934178129E-5;-0,97104024887085;-0,965759873390198
7,31603940948844E-5;-0,164955660700798;-0,00088690168922767;0,000621702347416431;0,164709210395813;7,31603940948844E-5;-0,993327379226685;-0,989733934402466
7,51603947719559E-5;-0,16635724902153;-0,0008956168894656;0,000612042204011232;0,166090860962868;7,51603947719559E-5;-0,999949216842651;-0,998143553733826
7,71603954490274E-5;-0,165123507380486;-0,000885902438312769;0,000620408274699002;0,164874821901321;7,71603954490274E-5;-0,990801215171814;-0,990741074085236
7,91603961260989E-5;-0,16128134727478;-0,000858979532495141;0,000647628330625594;0,161086916923523;7,91603961260989E-5;-0,966027736663818;-0,967688024044037
8,11603968031704E-5;-0,154892012476921;-0,00081501470413059;0,0006964917993173;0,154791191220284;8,11603968031704E-5;-0,926019370555878;-0,929352045059204
8,3160397480242E-5;-0,146046683192253;-0,000756006396841258;0,00077265000436455;0,146063327789307;8,3160397480242E-5;-0,871407151222229;-0,876280128955841
8,51603981573135E-5;-0,134902060031891;-0,000683758582454175;0,000884857028722763;0,135124206542969;8,51603981573135E-5;-0,803052306175232;-0,809412360191345
8,7160398834385E-5;-0,121620424091816;-0,000601019244641066;0,00104936282150447;0,122095063328743;8,7160398834385E-5;-0,722032845020294;-0,729722559452057
8,91603995114565E-5;-0,106421299278736;-0,000510355632286519;0,00129379075951874;0,107204802334309;8,91603995114565E-5;-0,629626512527466;-0,638527810573578
9,11603929125704E-5;-0,089545726776123;-0,000414640555391088;0,00166803365573287;0,0907991975545883;9,11603929125704E-5;-0,52729058265686;-0,537274360656738
9,31603935896419E-5;-0,0712743699550629;-0,000316219258820638;0,00227305572479963;0,0732312873005867;9,31603935896419E-5;-0,416638970375061;-0,427646219730377
9,51603942667134E-5;-0,0519011467695236;-0,000217714739846997;0,00333481351844966;0,0550183579325676;9,51603942667134E-5;-0,299416720867157;-0,311406880617142
9,71603949437849E-5;-0,0317791514098644;-0,000120070617413148;0,00542746623978019;0,0370867699384689;9,71603949437849E-5;-0,177472472190857;-0,190674901008606
9,91603956208564E-5;-0,0112975854426622;-2,27595719479723E-5;0,0100993812084198;0,0213742349296808;9,91603956208564E-5;-0,0527293793857098;-0,0677855089306831
0,00010075048339786;0,00529615487903357;5,88418188272044E-5;0,0176785793155432;0,0124413520097733;0,00010075048339786;0,0471368990838528;0,0317769274115562
0,000102184902061708;0,0206317324191332;0,000138222763780504;0,0281644016504288;0,00767114479094744;0,000102184902061708;0,136850759387016;0,123790398240089
0,000103027421573643;0,0293335933238268;0,000185074182809331;0,0351664386689663;0,00601792242377996;0,000103027421573643;0,189073652029037;0,176001563668251
0,000104005361208692;0,0394301749765873;0,000242028618231416;0,0438704825937748;0,00468246964737773;0,000104005361208692;0,249016359448433;0,236581057310104
0,0001050058126566;0,0496232062578201;0,000300204294035211;0,0530647486448288;0,00374182965606451;0,0001050058126566;0,309364527463913;0,297739237546921
0,000105809791421052;0,0575685612857342;0,000347721856087446;0,0604268424212933;0,00319445901550353;0,000105809791421052;0,356986731290817;0,345411390066147
0,000106636834971141;0,0656814500689507;0,000396571675082669;0,0680436342954636;0,00275341235101223;0,000106636834971141;0,405023574829102;0,394088685512543
0,000107476378616411;0,0736838728189468;0,000446087622549385;0,0756462812423706;0,00240305112674832;0,000107476378616411;0,452667623758316;0,442103236913681
0,000108867192466278;0,086472176015377;0,000527577998582274;0,0879320949316025;0,00196800054982305;0,000108867192466278;0,528762698173523;0,518833041191101
0,000110270084405784;0,0987289771437645;0,000608624250162393;0,0997959673404694;0,00165299093350768;0,000110270084405784;0,601429045200348;0,592373847961426
0,000111693843791727;0,110343903303146;0,000687005987856537;0,11109322309494;0,00141854153480381;0,000111693843791727;0,670398592948914;0,662063419818878
0,000113451533252373;0,12349209934473;0,000779154535848647;0,123919762670994;0,00120733864605427;0,000113451533252373;0,748093605041504;0,740952610969543
0,000115401184302755;0,136286720633507;0,000871747091878206;0,136457189917564;0,00104223273228854;0,000115401184302755;0,823574721813202;0,817720353603363
0,000117401184979826;0,14730466902256;0,000953681592363864;0,147275179624558;0,000924447202123702;0,000117401184979826;0,888170599937439;0,883827984333038
0,00011940117838094;0,155998408794403;0,00101918471045792;0,155846700072289;0,00084400997729972;0,00011940117838094;0,938759446144104;0,935990452766418
0,000121401179058012;0,162238299846649;0,00106736843008548;0,161983892321587;0,000792236474808306;0,000121401179058012;0,974543511867523;0,973429799079895
0,000123401187011041;0,165934056043625;0,00109534605871886;0,165620356798172;0,000763575953897089;0,000123401187011041;0,994958460330963;0,995604336261749
0,000124913014587946;0,166985914111137;0,00110378372482955;0,166645750403404;0,000755727989599109;0,000124913014587946;0,999985039234161;1,0019154548645
0,000126389641081914;0,166577488183975;0,00109956483356655;0,166241690516472;0,000758755544666201;0,000126389641081914;0,99619060754776;0,999464988708496
0,00012779125245288;0,164851143956184;0,00108535401523113;0,164541810750961;0,000771823979448527;0,00012779125245288;0,98466032743454;0,989106893539429
0,000129343185108155;0,16146519780159;0,00105804251506925;0,161211162805557;0,000798343680799007;0,000129343185108155;0,962995946407318;0,96879118680954
0,000131343185785227;0,154842883348465;0,001005640020594;0,154705330729485;0,00085395626956597;0,000131343185785227;0,921623170375824;0,92905730009079
0,000133343186462298;0,145783096551895;0,000935029820539057;0,145786881446838;0,000939266290515661;0,000133343186462298;0,865715801715851;0,874698579311371
0,00013534318713937;0,134430170059204;0,000849986739922315;0,134665355086327;0,00106357107870281;0,00013534318713937;0,796155631542206;0,806581020355225
0,000137343187816441;0,120966300368309;0,000751620973460376;0,121485210955143;0,00124351400882006;0,000137343187816441;0,71403956413269;0,725797772407532
0,000139343188493513;0,10559906065464;0,000643929350189865;0,106462769210339;0,00150786223821342;0,000139343188493513;0,620662689208984;0,633594393730164
0,000141343189170584;0,0885835066437721;0,000529132317751646;0,0899617299437523;0,00190754875075072;0,000141343189170584;0,517497599124908;0,531501054763794
0,00014334317529574;0,0701913684606552;0,000411226617870852;0,0723264142870903;0,00254653068259358;0,00014334317529574;0,406171232461929;0,421148210763931
0,000145343175972812;0,0507291555404663;0,000292654789518565;0,0540929138660431;0,00365631468594074;0,000145343175972812;0,288439333438873;0,304374933242798
0,000147343176649883;0,0305265728384256;0,000176414439920336;0,0361803881824017;0,00583018502220511;0,000147343176649883;0,166158556938171;0,183159440755844
0,000149343177326955;0,00997437816113234;6,53921379125677E-5;0,0205748900771141;0,010665949434042;0,000149343177326955;0,0412573590874672;0,0598462708294392
0,000151343178004026;-0,0107656456530094;-3,78586046281271E-5;0,010285853408277;0,0210137292742729;0,000151343178004026;-0,0842944905161858;-0,0645938739180565
0,000152523745782673;-0,0234553944319487;-9,86988234217279E-5;0,00688002351671457;0,0302368327975273;0,000152523745782673;-0,157907500863075;-0,140732362866402
0,000153361994307488;-0,0321261435747147;-0,000138222763780504;0,00537948729470372;0,037367444485426;0,000153361994307488;-0,209672853350639;-0,192756861448288
0,000154337903950363;-0,0420983545482159;-0,000186906050657853;0,00417290255427361;0,0460844002664089;0,000154337903950363;-0,269196301698685;-0,252590119838715
0,000154971043230034;-0,0485992282629013;-0,000217270644498058;0,00358792510814965;0,0519740059971809;0,000154971043230034;-0,307285785675049;-0,291595369577408
0,000155574511154555;-0,054575439542532;-0,000247135641984642;0,0031510207336396;0,0574831813573837;0,000155574511154555;-0,343138813972473;-0,327452629804611
0,000156200796482153;-0,0607404597103596;-0,00027744472026825;0,00277750287204981;0,0632422491908073;0,000156200796482153;-0,379825592041016;-0,364442765712738
0,000157013491843827;-0,0686219036579132;-0,000317884609103203;0,00238761305809021;0,07069531083107;0,000157013491843827;-0,426546514034271;-0,411731421947479
0,000157830392709002;-0,0763158351182938;-0,000357325276127085;0,00207917648367584;0,078042283654213;0,000157830392709002;-0,472387582063675;-0,457895040512085
0,000158699243911542;-0,0842897668480873;-0,000400221528252587;0,00181684747803956;0,0857101753354073;0,000158699243911542;-0,519776880741119;-0,505738615989685
0,000160178024088964;-0,0972705259919167;-0,000470779661554843;0,00148077507037669;0,098297193646431;0,000160178024088964;-0,596797466278076;-0,583623170852661
0,000162178024766035;-0,113431945443153;-0,000563812907785177;0,00117331894580275;0,114041484892368;0,000162178024766035;-0,692657947540283;-0,680591702461243
0,000164178025443107;-0,12782110273838;-0,000649397203233093;0,000968761509284377;0,128140464425087;0,000164178025443107;-0,777594745159149;-0,76692658662796
0,000166178026120178;-0,140154331922531;-0,000726280151866376;0,000829921569675207;0,140291824936867;0,000166178026120178;-0,850268423557282;-0,840925991535187
0,00016817802679725;-0,150299921631813;-0,000790700840298086;0,000735073874238878;0,150271043181419;0,00016817802679725;-0,909532845020294;-0,901799499988556
0,000170178027474321;-0,158049345016479;-0,000841660075820982;0,000672111287713051;0,157902121543884;0,000170178027474321;-0,954453408718109;-0,948296010494232
0,000172178028151393;-0,163317605853081;-0,000875910453032702;0,000633185845799744;0,163093969225883;0,000172178028151393;-0,984321713447571;-0,979905664920807
0,000174178014276549;-0,165996193885803;-0,000893618504051119;0,000614549964666367;0,16573491692543;0,000174178014276549;-0,998666644096375;-0,995977163314819
0,000176178014953621;-0,166057422757149;-0,00089273031335324;0,000614017306361347;0,165795594453812;0,000176178014953621;-0,997262001037598;-0,996344566345215
0,000178178015630692;-0,163492664694786;-0,000874578196089715;0,0006317951483652;0,163266658782959;0,000178178015630692;-0,980129897594452;-0,980955958366394
0,000180178016307764;-0,158342942595482;-0,000838329433463514;0,000669493165332824;0,158191293478012;0,000180178016307764;-0,947540640830994;-0,950057625770569
0,000182178016984835;-0,150690674781799;-0,00078698160359636;0,000731334323063493;0,150653421878815;0,000182178016984835;-0,900008022785187;-0,904144108295441
0,000184178017661907;-0,1406559497118;-0,000720534764695913;0,000824295042548329;0,140780076384544;0,000184178017661907;-0,838281810283661;-0,84393572807312
0,000186178018338978;-0,128397136926651;-0,00064301339443773;0,000960724893957377;0,12873849272728;0,000186178018338978;-0,763335347175598;-0,770382821559906
0,00018817801901605;-0,114112414419651;-0,000555541715584695;0,00116145948413759;0,114718392491341;0,00018817801901605;-0,676350653171539;-0,684674501419067
0,000190178019693121;-0,0980250462889671;-0,00046232808381319;0,00146339857019484;0,0990261808037758;0,000190178019693121;-0,578699469566345;-0,588150262832642
0,000192178020370193;-0,0804086849093437;-0,000364541716407985;0,00193711067549884;0,081981360912323;0,000192178020370193;-0,471921890974045;-0,482452094554901
0,000194178021047264;-0,0615302324295044;-0,000266231480054557;0,00273310649208725;0,0639972165226936;0,000194178021047264;-0,357701808214188;-0,369181394577026
0,000196178021724336;-0,0417373925447464;-0,000167699181474745;0,00420707790181041;0,0457769334316254;0,000196178021724336;-0,237840563058853;-0,250424355268478
0,000198178022401407;-0,021371316164732;-7,09432497387752E-5;0,00732156401500106;0,0286220423877239;0,000198178022401407;-0,114228419959545;-0,128227889537811
0,000200178023078479;-0,000781810260377824;2,85327314486494E-5;0,0144163724035025;0,0152268325909972;0,000200178023078479;0,0111851692199707;-0,00469086179509759
0,000201289891265333;0,0111538423225284;8,87068163137883E-5;0,0213382486253977;0,0102732917293906;0,000201289891265333;0,0809576883912087;0,066923052072525
0,000202369046746753;0,022494450211525;0,000147881713928655;0,0296135414391756;0,0072671202942729;0,000202369046746753;0,148302808403969;0,13496670126915
0,000203517862246372;0,0344045422971249;0,000213606908801012;0,0394755601882935;0,00528470706194639;0,000203517862246372;0,219238474965096;0,20642726123333
0,00020437098282855;0,043209008872509;0,000263122870819643;0,0472411848604679;0,00429548043757677;0,00020437098282855;0,271197706460953;0,259254068136215
0,000205253032618202;0,0520481951534748;0,000314859236823395;0,0553088486194611;0,00355965876951814;0,000205253032618202;0,324097841978073;0,312289178371429
0,000206060372875072;0,0600610747933388;0,000362598831998184;0,0627539679408073;0,0030481917783618;0,000206060372875072;0,37164905667305;0,360366433858871
0,000207089266041294;0,0700211673974991;0,000423217017669231;0,0721636041998863;0,0025542457588017;0,000207089266041294;0,430847346782684;0,420127034187317
0,000208324257982895;0,0815452858805656;0,00049604766536504;0,0831889510154724;0,00212025456130505;0,000208324257982895;0,499505907297134;0,489271730184555
0,000209580481168814;0,092804878950119;0,000569100317079574;0,094046987593174;0,00179522193502635;0,000209580481168814;0,56625884771347;0,556829273700714
0,000210945858270861;0,104338429868221;0,000645927735604346;0,105241924524307;0,00153327663429081;0,000210945858270861;0,63479882478714;0,626030564308167
0,000212677288800478;0,11787873506546;0,000739408540539443;0,118455491960049;0,00129135581664741;0,000212677288800478;0,714939177036285;0,707272410392761
0,00021467728947755;0,131761014461517;0,000838440435472876;0,132056400179863;0,00109639205038548;0,00021467728947755;0,796932995319366;0,790566086769104
0,000216677275602706;0,143575519323349;0,000925481901504099;0,143611758947372;0,000962134974543005;0,000216677275602706;0,866358697414398;0,861453115940094
0,000218677276279777;0,153129696846008;0,000997202354483306;0,153025984764099;0,000869383860845119;0,000218677276279777;0,922121405601501;0,918778121471405
0,000220677276956849;0,160266906023026;0,00105226936284453;0,160044863820076;0,000808113254606724;0,000220677276956849;0,96334171295166;0,961601436138153
0,00022267727763392;0,164899364113808;0,00108735240064561;0,16460183262825;0,000771458668168634;0,00022267727763392;0,989369571208954;0,989396154880524
0,000224194067413919;0,166669473052025;0,0011013412149623;0,16633428633213;0,000758099893573672;0,000224194067413919;0,99871814250946;1,00001680850983
0,000225802999921143;0,166913166642189;0,00110267347190529;0,166573345661163;0,000756251683924347;0,000225802999921143;0,998727440834045;1,00147902965546
0,000227324038860388;0,16556853055954;0,0010913492878899;0,165249645709991;0,000766348675824702;0,000227324038860388;0,989357471466065;0,993411242961884
0,000229151904932223;0,161966100335121;0,00106203940231353;0,161708265542984;0,000794315012171864;0,000229151904932223;0,966165482997894;0,971796572208404
0,000231151905609295;0,155584454536438;0,00101141317281872;0,155436828732491;0,000847447721753269;0,000231151905609295;0,926220655441284;0,933506727218628
0,000233151906286366;0,146749809384346;0,000942801416385919;0,146736443042755;0,00092962448252365;0,000233151906286366;0,871668815612793;0,880498886108398
0,000235151906963438;0,135611966252327;0,000858868530485779;0,135824054479599;0,00104957481380552;0,000235151906963438;0,803370177745819;0,813671767711639
0,000237151907640509;0,122337780892849;0,000761390954721719;0,122799582779408;0,00122358347289264;0,000237151907640509;0,722401976585388;0,734026730060577
0,000239151908317581;0,107142142951488;0,000654587522149086;0,107965290546417;0,00147786363959312;0,000239151908317581;0,630041003227234;0,64285284280777
0,000241151908994652;0,0902762487530708;0,0005404565599747;0,0915968343615532;0,0018611706327647;0,000241151908994652;0,527743935585022;0,541657447814941
0,000243151909671724;0,0720010176301002;0,000422772922320291;0,0740485861897469;0,00247032195329666;0,000243151909671724;0,417124032974243;0,43200609087944
0,00024515189579688;0,0526274815201759;0,000304201123071834;0,0558417439460754;0,00351820513606071;0,00024515189579688;0,299925833940506;0,315764874219894
0,000247151911025867;0,0324815139174461;0,000187516663572751;0,0378384478390217;0,00554417306557298;0,000247151911025867;0,177997618913651;0,194889083504677
0,00024740191292949;0,0299270842224359;0,00017297275189776;0,0356762669980526;0,0059222960844636;0,00024740191292949;0,162519171833992;0,179562509059906
0,000247901916736737;0,0248143617063761;0,000144551042467356;0,0314719751477242;0,00680180499330163;0,000247901916736737;0,131445825099945;0,148886159062386
0,0002489018952474;0,0145250419154763;8,93729520612396E-5;0,0236628390848637;0,00922720041126013;0,0002489018952474;0,0689407363533974;0,0871502533555031
